ID,Start time,Completion time,Email,Name,Total points,Quiz feedback,Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Points - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Feedback - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Do you have any additional feedback about TeamUp! that you would like to share?,Points - Do you have any additional feedback about TeamUp! that you would like to share?,Feedback - Do you have any additional feedback about TeamUp! that you would like to share?,Do you read the weekly newsletter?,Points - Do you read the weekly newsletter?,Feedback - Do you read the weekly newsletter?,Which of the following is true for you about the newsletter? (choose as many options as apply),Points - Which of the following is true for you about the newsletter? (choose as many options as apply),Feedback - Which of the following is true for you about the newsletter? (choose as many options as apply),Any other feedback about the newsletter?,Points - Any other feedback about the newsletter?,Feedback - Any other feedback about the newsletter?,Why not? (you can select more than one response),Points - Why not? (you can select more than one response),Feedback - Why not? (you can select more than one response),Anything else you would like to share about the newsletter?,Points - Anything else you would like to share about the newsletter?,Feedback - Anything else you would like to share about the newsletter?,Did you attend the Study Skills workshop or watch the recording?,Points - Did you attend the Study Skills workshop or watch the recording?,Feedback - Did you attend the Study Skills workshop or watch the recording?,How useful did you find the Study Skills workshop?,Points - How useful did you find the Study Skills workshop?,Feedback - How useful did you find the Study Skills workshop?,Any other feedback about the Study Skills workshop?,Points - Any other feedback about the Study Skills workshop?,Feedback - Any other feedback about the Study Skills workshop?,Did you attend the Test #1 Debrief session or watch the recording?,Points - Did you attend the Test #1 Debrief session or watch the recording?,Feedback - Did you attend the Test #1 Debrief session or watch the recording?,How useful did you find the Test #1 Debrief session?,Points - How useful did you find the Test #1 Debrief session?,Feedback - How useful did you find the Test #1 Debrief session?,Any other feedback about the Test #1 Debrief session?,Points - Any other feedback about the Test #1 Debrief session?,Feedback - Any other feedback about the Test #1 Debrief session?,Anything else you would like to share with the CHM 135 teaching team?,Points - Anything else you would like to share with the CHM 135 teaching team?,Feedback - Anything else you would like to share with the CHM 135 teaching team?,Do you feel Lab #1 increased your confidence using Excel?,Points - Do you feel Lab #1 increased your confidence using Excel?,Feedback - Do you feel Lab #1 increased your confidence using Excel?,Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Points - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Feedback - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Points - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Feedback - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Points - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Feedback - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.
94,11-5-21 11:40:20,11-5-21 11:46:12,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,"I like them! It is not fun when I get into a group where I am the only one speaking. Otherwise, I enjoy that they are low risk questions that can help boost my mark. Thank you :)",,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,,,,"I really enjoyed that you have split the exams into term tests and there isn't like a final exam, it puts away at least a lil bit of stress. The fact that you gave us a redo option in our test 1 is something I am very thankful for and it shows that you guys really do care about us. One thing I would like to note is one of the reasons why tutorial teamup may not work well for individuals could be because it is so easy to get behind in lectures. I try not to get behind, but when you dont know the material it can be hard to contribute and that could be why people can stay silent. I really enjoy that you provide solutions to all textbook problems, provide backup recordings and provide excellent help with your TAs and everything. Thank you for your hard work and keep it up! ",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,"If we can get our pre lab quiz results back sooner that would be nice, especially for the more recent labs",,
95,11-5-21 11:42:39,11-5-21 11:46:12,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Extremely useful,,,,,,Yes,,,Extremely useful,,,,,,"Thank you so much for making our experience (especially for first years) go so smoothly. I did not feel that the transition from high school to university was overwhelming at all in CHM135, and it is all thanks to everyone's support throughout the course so far. ",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
96,11-5-21 11:46:08,11-5-21 11:47:10,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the tips from the teaching team.
;I like the advice from former students.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
97,11-5-21 11:46:42,11-5-21 11:48:13,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find the time allocated to TeamUp! too short.;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,Yes,,,Somewhat not useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
98,11-5-21 11:46:49,11-5-21 11:48:25,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
99,11-5-21 11:46:20,11-5-21 11:48:29,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"Too long
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,Not really,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,The questions on the report sheet were REALLY confusing and the TAs could have done a better job at explaining the lab overall…,,
100,11-5-21 11:47:20,11-5-21 11:48:33,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,I love the idea of the newsletter!,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
101,11-5-21 11:47:28,11-5-21 11:48:54,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,Not really,,,Not really,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
102,11-5-21 11:47:39,11-5-21 11:49:06,anonymous,,,,"It is hard for me to participate because I can't turn on my camera or unmute.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
103,11-5-21 11:47:47,11-5-21 11:49:17,anonymous,,,,"I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Neutral,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
104,11-5-21 11:48:12,11-5-21 11:49:21,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the discussion board links.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
105,11-5-21 11:48:47,11-5-21 11:49:40,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
106,11-5-21 11:48:42,11-5-21 11:50:56,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,I find it extremely frustrating when other people in my group don't participate and I am the only one doing the past test question.,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
107,11-5-21 11:47:09,11-5-21 11:51:26,anonymous,,,,"I find it useful to see past test questions.
;It is hard for me to participate because I can't turn on my camera or unmute.
;I find the time allocated to TeamUp! too short.;",,,"marking scheme not clear 
timing 
hard to see the question on screen sometimes and glitches",,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,"the testing questions - especially pictures and schema is not clear,  too little time and each question too much mark allocated and too many choices for each question .
",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
108,11-5-21 11:50:13,11-5-21 11:51:42,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the discussion board links.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the course.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
109,11-5-21 11:50:26,11-5-21 11:52:13,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
110,11-5-21 11:49:09,11-5-21 11:52:27,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,,,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,"I would say that my experience with chm135 has been positive. Everything has been going well, except for my last test, which I didn’t have as much time to study for due to my other courses. However, this experience has been a good learning experience and I’ll strive to do better.",,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
111,11-5-21 11:50:43,11-5-21 11:52:53,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;I like the discussion board links.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the course.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
112,11-5-21 11:52:07,11-5-21 11:53:04,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
113,11-5-21 11:51:26,11-5-21 11:54:26,anonymous,,,,"I like working through problems with my peers.
;",,,"It would be cooler if the tutorial starts with the quiz so we can cover things we don't understand after the quiz, instead of beginning the tutorial with a lesson on something that we are unsure if everyone understands or not already.",,,"At least some of the time
",,,"The newsletter makes me feel more connected to the course.
;I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
114,11-5-21 11:50:28,11-5-21 11:54:36,anonymous,,,,"I find it useful to see past test questions.
;",,,Sometimes the questions don't load properly or take a while to load!,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,It left me more confused then when I started,,,"Yes, but I was already quite confident",,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,I find the excel work extremely difficult and that the lab instructions do not provide enough information to allow us to efficiently complete the lab without having to consult additional resources.,,
115,11-5-21 11:50:06,11-5-21 11:54:48,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the discussion board links.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,"I would like the lectures to be at a slower pace. I struggle a lot with keeping up with what the proffessor says, since I find that they move from slide to slide really quickly, like it would be only review and not a lesson.",,
116,11-5-21 11:54:10,11-5-21 11:56:02,anonymous,,,,"I like working through problems with my peers.
;",,,No.,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the discussion board links.
;The newsletter makes me feel more connected to the course.
;",,,No. ,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,No.,,,It would be helpful if the time for the midterm and exams were longer than an hour. ,,,"Yes, I feel much more confident using Excel",,,Not really,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,No.,,
117,11-5-21 11:55:03,11-5-21 11:56:28,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
118,11-5-21 11:27:28,11-5-21 11:57:17,anonymous,,,,"I find it useful to see past test questions.
;It has let me get to know some of my classmates.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
119,11-5-21 11:53:21,11-5-21 11:57:29,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I like working through problems with my peers.
;",,,TeamUp! is generally very nice to have and useful in understanding or applying concepts. It also makes me feel a bit better about my grade since they're worth a few marks and I typically do well on them :'),,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,Thank you for all that you do for CHM135 students! :),,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
120,11-5-21 11:57:04,11-5-21 11:58:38,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;The newsletter makes me feel more connected to the course.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
121,11-5-21 11:58:55,11-5-21 11:59:54,anonymous,,,,"I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
122,11-5-21 11:47:38,11-5-21 12:00:05,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find the time allocated to TeamUp! too short.;",,,"The idea is good, but the implementation by the TA's isn't the best. All of the breakout rooms I've been in just randomly guess the answer to the TeamUp",,,No,,,,,,,,,"Didn't seem useful
",,,,,,No,,,,,,,,,Yes,,,Neutral,,,,,,"I don't think it is fair for 4 tests with 18 questions each (and a mere 1 hour to solve all of these calculation questions) should be an accurate measure of our hard work and future ability to take upper-year courses and POSts. I feel like other out-of-class assignments (like labs) should be worth more of the overall course grade instead of 4 tests, and I feel that the course coordinators should implement other chemistry projects to give us a more hands-on experience instead of just memorizing formulas and equations. Currently, our future programs that have anything to do with chemistry are determined by 72 questions done in 4 hours.

",,,"It was good practice, but I didn’t learn anything new",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,"Lab 1 wasn't an issue, Lab 3 was very vague.",,
123,11-5-21 11:59:19,11-5-21 12:00:31,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
124,11-5-21 12:00:16,11-5-21 12:01:11,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
125,11-5-21 11:58:51,11-5-21 12:01:43,anonymous,,,,"I like working through problems with my peers.
;",,,"sometimes it shows some technical issues, but only rarely. ",,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,No,,,,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
126,11-5-21 11:45:10,11-5-21 12:01:53,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
127,11-5-21 12:01:05,11-5-21 12:02:17,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the discussion board links.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
128,11-5-21 12:01:33,11-5-21 12:02:47,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Neutral,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
129,11-5-21 12:02:16,11-5-21 12:03:42,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
130,11-5-21 12:02:26,11-5-21 12:04:07,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find the time allocated to TeamUp! too short.;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the discussion board links.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
131,11-5-21 12:01:20,11-5-21 12:04:46,anonymous,,,,"I find the time allocated to TeamUp! too long.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,I read the newsletter from time to time when I get a chance.,,,No,,,,,,,,,Yes,,,Somewhat useful,,,I had some more questions that I was confused about.,,,,,,Not really,,,Not really,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
132,11-5-21 11:58:24,11-5-21 12:05:10,anonymous,,,,"I find it useful to see past test questions.
;",,,10m time limit is just enough so long as people participate.,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,Still felt a bit confused.,,,,,,"Yes, I feel much more confident using Excel",,,Not really,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,I found lab 1 great but the other labs I found difficult.,,
133,11-5-21 11:53:01,11-5-21 12:05:37,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,Yes,,,Neutral,,,,,,No,,,,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
134,11-5-21 12:04:40,11-5-21 12:06:10,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;It is hard for me to participate because I can't turn on my camera or unmute.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
135,11-5-21 12:04:04,11-5-21 12:06:25,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,I appreciate all your hard work!!,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,"I didn't realize it was going to be so Excel focused, so maybe a disclaimer before the lab saying 'we're going to be doing this' would be good. ",,
136,11-5-21 12:04:27,11-5-21 12:07:12,anonymous,,,,"I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,,,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
137,11-5-21 12:06:33,11-5-21 12:07:44,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
